task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,perplexity,bleu,chrf,rouge_l,meteor,codebleu,ast_similarity,codebert_score,bertscore,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,canon_perplexity,n_output_tokens
HumanEval_14,humaneval,pass,0,,0,,1,4.000,2.000,94.617,4.755,0.500,2.377,0.000,50.000,4.000,2.740,48.341,50.854,48.000,,17.047,42.623,89.901,89.734,6.000,2.000,100.000,4.755,0.500,2.377,1.000,0.000,3.000,2.668,114
HumanEval_15,humaneval,pass,0,,0,,2,4.000,2.000,81.856,4.755,0.500,2.377,0.000,0.000,5.000,2.629,53.831,66.427,80.000,,48.448,95.652,97.551,97.226,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,3.000,2.887,54
HumanEval_16,humaneval,pass,0,,0,,2,4.000,1.000,100.000,0.000,0.000,0.000,0.000,75.000,5.000,3.217,100.000,100.000,100.000,,65.811,100.000,100.000,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,3.787,73
HumanEval_17,humaneval,pass,1,magic_number,1,magic_number,1,13.000,5.000,65.785,20.897,0.750,15.673,5.000,0.000,4.000,2.755,20.629,37.400,29.787,,10.968,24.176,80.719,82.534,4.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,4.642,131
HumanEval_18,humaneval,pass,0,,0,,3,9.000,3.000,68.758,27.000,1.000,27.000,3.000,0.000,4.000,1.860,67.572,68.143,78.049,,54.831,90.000,96.111,97.642,6.000,3.000,88.953,53.774,1.667,89.624,3.000,0.000,2.000,2.662,109
HumanEval_19,humaneval,fail,1,dead_code,1,dead_code,1,9.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,6.000,1.775,54.940,66.036,55.814,,67.002,59.091,89.827,93.796,15.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,2.419,164
HumanEval_20,humaneval,fail,1,magic_number,1,magic_number,2,15.000,5.000,62.342,41.513,1.500,62.270,7.000,0.000,6.000,1.676,5.656,21.293,16.667,,16.079,55.300,72.325,89.730,16.000,6.000,88.998,51.891,2.857,148.261,16.000,0.000,4.000,2.048,234
HumanEval_21,humaneval,pass,0,,0,,1,7.000,2.000,71.475,25.266,1.200,30.319,0.000,0.000,4.000,1.962,46.577,54.384,59.091,,53.652,83.951,92.975,95.623,5.000,2.000,98.578,25.266,1.200,30.319,0.000,0.000,2.000,2.548,120
HumanEval_22,humaneval,pass,0,,0,,2,5.000,3.000,100.000,0.000,0.000,0.000,0.000,60.000,3.000,2.936,45.788,68.385,70.000,,57.311,100.000,97.052,96.863,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.402,107
HumanEval_23,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.629,100.000,100.000,100.000,,65.811,100.000,100.000,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.747,53
HumanEval_24,humaneval,pass,0,,0,,1,5.000,3.000,99.902,34.869,2.800,97.634,3.000,0.000,3.000,2.906,58.150,63.752,84.615,,55.088,81.481,90.650,96.201,4.000,3.000,100.000,15.510,1.000,15.510,3.000,0.000,2.000,3.507,99
HumanEval_25,humaneval,pass,0,,0,,0,13.000,4.000,62.722,59.795,9.000,538.152,5.000,0.000,1.000,1.520,40.368,49.510,62.069,,36.522,65.714,90.137,94.910,14.000,4.000,89.335,77.709,6.000,466.255,5.000,0.000,3.000,3.077,194
HumanEval_26,humaneval,fail,0,,0,,0,9.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,3.000,2.378,4.052,25.713,22.222,,18.810,37.838,78.617,83.406,5.000,3.000,100.000,4.755,0.500,2.377,0.000,0.000,1.000,2.894,143
HumanEval_27,humaneval,pass,0,,0,,1,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,2.975,100.000,100.000,100.000,,65.811,100.000,100.000,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.628,76
HumanEval_28,humaneval,pass,0,,0,,2,5.000,1.000,100.000,0.000,0.000,0.000,0.000,60.000,3.000,2.282,100.000,100.000,100.000,,65.811,100.000,100.000,100.000,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.071,69
HumanEval_29,humaneval,pass,0,,0,,2,5.000,3.000,100.000,0.000,0.000,0.000,0.000,60.000,3.000,2.659,45.788,75.418,70.000,,58.153,100.000,98.350,98.344,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.799,103
HumanEval_30,humaneval,pass,0,,0,,2,4.000,3.000,100.000,41.209,1.000,41.209,0.000,75.000,2.000,3.307,24.808,46.285,66.667,,57.359,100.000,96.613,98.050,2.000,3.000,71.799,4.755,0.500,2.377,0.000,0.000,0.000,3.216,130
HumanEval_31,humaneval,pass,1,magic_number,1,magic_number,7,20.000,8.000,67.250,217.131,5.647,1226.151,8.000,5.000,2.000,1.715,14.385,47.539,42.623,,33.744,46.281,83.656,91.449,7.000,4.000,68.815,39.863,2.667,106.302,4.000,0.000,1.000,2.124,174
HumanEval_32,humaneval,fail,0,,0,,0,9.000,7.000,62.436,210.996,5.091,1074.163,1.000,44.444,10.000,3.626,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,15.000,6.000,82.771,156.080,4.312,673.095,5.000,0.000,4.000,3.620,512
HumanEval_33,humaneval,pass,1,dead_code,1,dead_code,2,9.000,5.000,67.816,33.688,1.600,53.901,3.000,0.000,7.000,2.238,4.975,22.272,29.167,,21.515,41.584,77.784,85.917,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,4.013,140
HumanEval_34,humaneval,pass,0,,0,,1,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,5.000,4.729,100.000,100.000,100.000,,65.811,100.000,100.000,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,3.788,54
HumanEval_35,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.489,0.518,19.059,11.765,,25.390,27.778,77.019,81.301,6.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,2.918,96
HumanEval_36,humaneval,pass,0,,0,,3,9.000,4.000,65.791,68.532,2.400,164.478,4.000,0.000,5.000,2.620,33.768,38.748,56.140,,29.912,70.312,87.635,93.824,10.000,5.000,91.217,84.000,2.333,196.000,5.000,0.000,5.000,2.987,101
HumanEval_37,humaneval,pass,1,dead_code,1,dead_code,2,9.000,4.000,70.310,15.510,1.000,15.510,3.000,0.000,7.000,2.064,7.548,23.386,24.615,,14.147,50.980,78.910,89.034,10.000,3.000,95.922,11.610,1.000,11.610,2.000,0.000,5.000,3.031,122
HumanEval_38,humaneval,pass,1,magic_number,1,magic_number,0,8.000,8.000,79.260,210.908,3.947,832.533,2.000,50.000,4.000,2.854,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,6.000,5.000,84.320,77.709,3.111,241.762,1.000,33.333,5.000,3.951,404
HumanEval_39,humaneval,timeout,1,magic_number,1,magic_number,0,23.000,4.000,53.986,178.814,5.353,957.178,18.000,0.000,4.000,1.702,22.680,41.076,44.615,,30.044,42.802,81.889,92.044,16.000,4.000,85.643,135.934,4.615,627.386,16.000,0.000,6.000,2.033,250
HumanEval_40,humaneval,pass,0,,0,,0,8.000,5.000,73.948,79.954,1.909,152.640,10.000,0.000,2.000,1.991,73.561,79.690,78.873,,59.038,83.117,94.681,97.054,7.000,5.000,70.781,51.891,1.111,57.657,10.000,0.000,2.000,2.050,331
HumanEval_41,humaneval,fail,0,,0,,0,2.000,1.000,50.511,27.000,1.800,48.600,0.000,50.000,0.000,10.500,14.991,63.337,75.000,,39.844,57.143,79.589,92.504,2.000,1.000,55.568,4.755,0.500,2.377,0.000,0.000,0.000,13.173,292
HumanEval_42,humaneval,pass,0,,0,,2,4.000,2.000,81.856,4.755,0.500,2.377,0.000,0.000,2.000,3.398,29.847,53.080,71.429,,59.257,100.000,97.088,98.189,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,0.000,3.287,77
HumanEval_43,humaneval,pass,0,,0,,0,7.000,3.000,75.603,11.610,1.000,11.610,3.000,0.000,2.000,2.323,5.561,31.479,40.000,,17.524,50.000,77.977,90.364,6.000,4.000,67.079,27.000,1.000,27.000,6.000,0.000,3.000,2.261,221
HumanEval_44,humaneval,pass,0,,0,,0,5.000,2.000,77.990,36.000,4.000,144.000,3.000,0.000,2.000,3.186,22.731,36.197,41.379,,14.892,41.096,83.828,89.421,6.000,2.000,83.384,38.039,3.200,121.725,1.000,0.000,1.000,3.460,146
HumanEval_45,humaneval,pass,0,,0,,0,2.000,1.000,87.578,13.932,0.500,6.966,0.000,0.000,0.000,5.474,32.467,42.188,60.000,,36.109,81.818,86.119,86.190,2.000,1.000,87.251,15.510,1.000,15.510,0.000,0.000,0.000,5.829,58
HumanEval_46,humaneval,pass,1,magic_number,1,magic_number,0,14.000,6.000,58.115,197.654,3.529,697.603,7.000,0.000,1.000,1.800,22.316,28.822,39.535,,24.758,56.604,83.140,90.069,8.000,3.000,76.326,95.184,2.045,194.694,2.000,0.000,3.000,2.814,234
HumanEval_47,humaneval,pass,0,,0,,0,4.000,2.000,87.356,91.377,6.000,548.259,1.000,0.000,2.000,2.718,38.571,38.509,44.898,,31.390,82.171,88.475,90.847,6.000,2.000,92.993,98.099,4.364,428.069,2.000,0.000,2.000,2.346,136
HumanEval_48,humaneval,pass,0,,0,,0,2.000,1.000,50.352,11.610,1.000,11.610,0.000,0.000,0.000,2.044,1.811,15.354,27.273,,2.957,29.091,77.545,83.727,5.000,3.000,74.592,27.000,1.000,27.000,3.000,0.000,2.000,1.927,100
HumanEval_49,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.889,2.198,13.305,22.222,,25.500,31.579,79.455,83.912,5.000,2.000,72.420,15.510,1.000,15.510,1.000,0.000,1.000,3.629,128
HumanEval_50,humaneval,pass,0,,0,,0,4.000,4.000,85.161,101.950,1.500,152.925,0.000,0.000,3.000,2.469,85.161,88.329,93.333,,66.177,94.737,98.573,98.473,4.000,4.000,85.161,101.950,1.500,152.925,0.000,0.000,3.000,2.531,210
HumanEval_51,humaneval,pass,0,,0,,6,9.000,3.000,74.039,4.755,0.500,2.377,0.000,0.000,3.000,2.475,20.059,38.947,51.613,,41.056,73.077,85.044,84.949,2.000,3.000,67.731,4.755,0.500,2.377,0.000,0.000,2.000,2.818,122
HumanEval_52,humaneval,pass,0,,0,,0,5.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,2.778,66.063,80.124,81.818,,77.716,100.000,97.045,99.044,5.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,2.990,113
HumanEval_53,humaneval,pass,0,,0,,0,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,0.000,2.196,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,0.000,2.538,62
HumanEval_54,humaneval,fail,0,,0,,6,8.000,1.000,100.000,4.755,0.500,2.377,0.000,87.500,3.000,2.756,48.327,52.800,60.000,,55.032,100.000,96.135,96.913,2.000,1.000,68.000,4.755,0.500,2.377,0.000,0.000,1.000,2.820,184
HumanEval_55,humaneval,pass,0,,0,,0,10.000,4.000,93.928,36.000,2.400,86.400,5.000,0.000,1.000,1.846,21.477,47.198,48.889,,31.323,56.250,83.466,91.073,6.000,3.000,89.327,47.549,2.500,118.872,3.000,0.000,1.000,1.966,125
HumanEval_56,humaneval,pass,1,magic_number,1,magic_number,4,13.000,5.000,91.631,43.185,2.667,115.160,5.000,38.462,4.000,2.369,22.740,39.557,33.333,,15.172,52.874,81.479,92.705,10.000,4.000,89.094,47.549,4.000,190.196,6.000,0.000,0.000,2.849,134
HumanEval_57,humaneval,pass,1,magic_number,1,magic_number,3,13.000,6.000,87.759,94.012,4.091,384.593,4.000,30.769,5.000,2.026,5.538,33.079,36.364,,32.259,33.898,76.375,87.059,4.000,3.000,80.659,25.266,1.200,30.319,2.000,0.000,1.000,2.793,176
HumanEval_58,humaneval,pass,0,,0,,2,5.000,1.000,100.000,4.755,0.500,2.377,0.000,0.000,5.000,2.687,10.125,29.621,32.258,,10.367,66.667,81.881,83.878,7.000,4.000,100.000,4.755,0.500,2.377,6.000,0.000,4.000,3.406,231
HumanEval_59,humaneval,pass,1,magic_number,1,magic_number,2,21.000,7.000,53.453,247.710,7.857,1946.291,18.000,0.000,5.000,1.848,32.483,64.002,58.065,,44.854,73.543,88.819,94.705,13.000,4.000,89.249,101.950,3.692,376.432,15.000,0.000,3.000,2.313,215
HumanEval_60,humaneval,pass,0,,0,,5,7.000,1.000,100.000,4.755,0.500,2.377,0.000,85.714,4.000,2.335,63.405,83.702,90.909,,36.600,96.296,97.129,98.028,2.000,1.000,57.383,4.755,0.500,2.377,0.000,0.000,2.000,2.534,117
HumanEval_61,humaneval,pass,1,magic_number,1,magic_number,4,13.000,6.000,78.582,55.351,2.857,158.145,8.000,7.692,4.000,1.934,20.247,38.996,36.364,,15.334,47.312,80.856,92.310,10.000,4.000,89.094,47.549,4.000,190.196,6.000,0.000,0.000,2.503,129
HumanEval_62,humaneval,pass,1,inefficient_loop,1,inefficient_loop,2,7.000,2.000,98.667,4.755,0.500,2.377,1.000,0.000,5.000,2.661,7.293,25.132,28.571,,14.853,35.484,80.642,86.673,2.000,2.000,57.211,4.755,0.500,2.377,0.000,0.000,1.000,4.161,197
HumanEval_63,humaneval,pass,2,dead_code;magic_number,2,dead_code;magic_number,3,15.000,5.000,59.882,93.209,2.667,248.557,6.000,0.000,4.000,1.666,24.823,56.003,57.971,,35.632,57.971,86.880,91.880,8.000,4.000,79.123,86.039,2.667,229.438,4.000,0.000,1.000,2.528,160
HumanEval_64,humaneval,fail,1,magic_number,1,magic_number,7,16.000,4.000,90.596,46.507,3.000,139.521,4.000,50.000,3.000,2.408,19.461,37.615,44.000,,32.333,74.286,88.610,90.917,9.000,4.000,90.574,74.231,3.000,222.693,2.000,0.000,1.000,3.261,184
HumanEval_65,humaneval,fail,0,,0,,4,11.000,2.000,64.534,36.000,2.100,75.600,2.000,0.000,4.000,2.079,33.262,60.700,46.512,,32.944,72.566,88.541,93.432,6.000,2.000,87.025,48.432,2.571,124.540,2.000,0.000,2.000,3.111,132
HumanEval_66,humaneval,pass,0,,0,,6,8.000,3.000,100.000,0.000,0.000,0.000,0.000,75.000,5.000,7.034,26.251,42.094,42.857,,14.717,61.538,89.701,91.408,3.000,4.000,57.973,4.755,0.500,2.377,2.000,0.000,3.000,6.959,119
HumanEval_67,humaneval,fail,0,,0,,4,8.000,1.000,72.155,13.932,0.500,6.966,0.000,0.000,4.000,3.980,12.618,23.084,19.355,,18.974,58.974,75.349,84.916,6.000,3.000,82.551,4.755,0.500,2.377,3.000,0.000,6.000,4.995,129
HumanEval_68,humaneval,pass,0,,0,,0,7.000,4.000,72.690,15.510,1.000,15.510,2.000,0.000,2.000,2.359,13.783,30.286,20.690,,29.195,47.934,79.646,89.621,5.000,3.000,38.630,38.039,1.143,43.473,2.000,0.000,5.000,3.916,88
HumanEval_69,humaneval,fail,0,,0,,3,10.000,4.000,92.246,50.189,3.214,161.323,4.000,30.000,5.000,2.420,32.007,34.594,42.857,,20.105,50.000,84.937,92.381,9.000,4.000,89.758,48.432,2.571,124.540,4.000,0.000,3.000,3.093,146
HumanEval_70,humaneval,pass,0,,0,,3,12.000,3.000,100.000,0.000,0.000,0.000,3.000,0.000,6.000,1.854,34.105,48.176,47.826,,22.062,58.120,86.929,92.019,7.000,3.000,94.386,8.000,1.000,8.000,3.000,0.000,4.000,3.279,134
HumanEval_71,humaneval,pass,0,,0,,2,9.000,4.000,61.709,262.331,6.857,1798.841,3.000,0.000,3.000,1.534,68.117,65.540,84.058,,72.589,89.005,95.736,94.760,7.000,4.000,80.868,262.331,6.857,1798.841,2.000,0.000,1.000,2.866,128
HumanEval_72,humaneval,pass,0,,0,,4,10.000,1.000,66.083,38.054,2.000,76.107,2.000,0.000,5.000,2.730,3.578,23.869,14.815,,12.235,30.088,73.457,86.632,10.000,4.000,84.521,66.608,3.750,249.780,4.000,0.000,2.000,3.042,155
HumanEval_73,humaneval,pass,0,,0,,3,13.000,3.000,87.265,62.270,3.429,213.496,3.000,23.077,3.000,2.014,35.994,43.301,53.333,,27.789,67.857,86.175,92.997,6.000,3.000,85.550,55.507,2.222,123.348,3.000,0.000,2.000,2.969,154
HumanEval_74,humaneval,pass,0,,0,,5,9.000,2.000,92.802,4.755,0.500,2.377,0.000,11.111,5.000,2.601,4.281,32.665,28.571,,12.078,57.471,82.938,87.562,11.000,4.000,91.993,23.265,1.500,34.897,4.000,0.000,1.000,2.575,180
HumanEval_75,humaneval,fail,1,magic_number,1,magic_number,0,16.000,6.000,57.011,187.487,5.200,974.932,19.000,0.000,5.000,1.904,35.289,48.342,46.400,,29.721,56.481,84.534,93.377,14.000,8.000,86.567,85.837,2.000,171.673,27.000,0.000,2.000,2.960,268
HumanEval_76,humaneval,fail,0,,0,,0,2.000,1.000,49.469,38.039,2.000,76.078,0.000,0.000,1.000,3.216,7.842,11.934,40.000,,10.099,48.387,80.267,83.346,7.000,3.000,83.659,42.110,3.750,157.914,2.000,0.000,0.000,2.900,175
HumanEval_77,humaneval,fail,1,dead_code,1,dead_code,6,10.000,1.000,66.252,48.432,2.571,124.540,0.000,0.000,3.000,3.258,56.680,53.773,53.846,,37.300,68.966,90.344,92.914,3.000,1.000,51.023,38.039,2.000,76.078,0.000,0.000,3.000,4.142,95
HumanEval_78,humaneval,fail,0,,0,,0,7.000,3.000,98.983,15.510,1.000,15.510,3.000,28.571,0.000,2.202,7.691,25.946,43.077,,19.463,68.627,79.739,89.829,7.000,3.000,69.004,15.510,1.000,15.510,3.000,0.000,2.000,4.189,230
HumanEval_79,humaneval,pass,0,,0,,2,5.000,1.000,100.000,12.000,0.667,8.000,0.000,40.000,4.000,3.137,20.428,64.430,40.000,,44.759,50.000,88.552,89.995,2.000,1.000,51.391,12.000,0.667,8.000,0.000,0.000,1.000,5.053,91
HumanEval_80,humaneval,pass,1,magic_number,1,magic_number,0,7.000,4.000,69.820,39.863,2.667,106.302,4.000,0.000,3.000,1.961,38.651,62.847,68.852,,46.872,63.309,93.104,95.323,7.000,6.000,79.735,133.980,3.500,468.929,5.000,0.000,2.000,2.534,65
HumanEval_81,humaneval,pass,1,magic_number,1,magic_number,0,30.000,14.000,50.854,140.648,1.846,259.658,15.000,0.000,1.000,1.412,62.918,81.050,74.545,,52.547,100.000,95.136,97.330,30.000,14.000,79.179,140.648,1.846,259.658,15.000,0.000,1.000,2.672,281
HumanEval_82,humaneval,pass,1,magic_number,1,magic_number,4,19.000,1.000,79.406,217.131,5.647,1226.151,16.000,21.053,4.000,1.837,19.497,51.322,34.667,,29.959,31.724,80.887,91.249,8.000,5.000,92.268,49.829,2.143,106.776,5.000,0.000,2.000,2.836,169
HumanEval_83,humaneval,pass,1,magic_number,1,magic_number,0,6.000,4.000,96.302,92.000,4.500,414.000,4.000,0.000,2.000,2.746,12.400,29.026,22.857,,24.048,27.500,79.379,87.720,3.000,2.000,93.062,41.513,2.286,94.887,1.000,0.000,0.000,6.267,108
HumanEval_84,humaneval,pass,0,,0,,0,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,5.000,2.611,33.664,55.880,50.000,,30.792,72.131,87.897,90.516,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,6.211,54
HumanEval_85,humaneval,pass,0,,0,,1,3.000,4.000,76.937,53.774,2.500,134.436,1.000,0.000,5.000,2.805,54.612,68.670,83.333,,39.980,85.366,96.209,96.418,2.000,3.000,86.982,15.510,1.000,15.510,0.000,0.000,3.000,7.363,65
HumanEval_86,humaneval,pass,0,,0,,3,7.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,5.000,2.704,46.314,58.957,29.630,,27.408,63.492,87.163,90.884,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,6.164,86
HumanEval_87,humaneval,fail,0,,0,,3,15.000,4.000,72.004,4.755,0.500,2.377,6.000,0.000,5.000,2.206,9.731,20.560,36.066,,14.918,23.188,80.212,82.845,3.000,4.000,52.140,4.755,0.500,2.377,0.000,0.000,3.000,3.614,164
HumanEval_88,humaneval,fail,0,,0,,0,7.000,3.000,70.509,33.219,2.000,66.439,3.000,0.000,2.000,2.819,49.514,66.055,44.444,,45.164,52.381,85.645,88.041,2.000,2.000,50.083,50.189,2.250,112.926,1.000,0.000,2.000,3.942,61
HumanEval_89,humaneval,fail,0,,0,,4,16.000,4.000,58.164,140.182,2.062,289.125,8.000,0.000,6.000,1.942,7.652,23.716,27.119,,22.654,47.482,74.956,89.258,9.000,3.000,88.924,66.608,2.667,177.621,4.000,0.000,1.000,4.360,148
HumanEval_90,humaneval,fail,1,magic_number,1,magic_number,4,11.000,2.000,72.273,4.755,0.500,2.377,1.000,0.000,5.000,1.838,28.064,44.158,33.333,,27.495,38.806,84.854,88.935,3.000,2.000,69.208,4.755,0.500,2.377,1.000,0.000,3.000,2.679,129
HumanEval_91,humaneval,fail,1,magic_number,1,magic_number,2,5.000,3.000,84.011,4.755,0.500,2.377,0.000,0.000,6.000,3.885,13.335,38.655,41.176,,16.924,57.143,82.184,88.173,4.000,2.000,74.090,4.755,0.500,2.377,0.000,0.000,2.000,5.700,199
HumanEval_92,humaneval,pass,0,,0,,4,9.000,7.000,63.501,127.438,3.571,455.135,5.000,0.000,3.000,2.250,72.785,78.225,89.655,,67.084,87.302,97.467,98.439,6.000,7.000,79.653,104.000,3.000,312.000,5.000,0.000,1.000,3.052,133
HumanEval_93,humaneval,fail,0,,0,,0,13.000,4.000,60.477,125.098,2.000,250.196,8.000,0.000,5.000,1.587,6.418,35.438,23.377,,17.268,40.000,80.101,82.171,5.000,4.000,72.151,15.510,1.000,15.510,1.000,0.000,5.000,5.190,227
HumanEval_94,humaneval,pass,1,magic_number,1,magic_number,0,18.000,1.000,56.121,217.131,5.647,1226.151,21.000,0.000,6.000,2.037,25.740,43.699,38.400,,26.517,42.149,84.132,91.718,14.000,5.000,88.273,105.416,4.000,421.662,12.000,0.000,6.000,4.704,268
HumanEval_95,humaneval,fail,0,,0,,0,7.000,5.000,73.437,11.610,1.000,11.610,2.000,0.000,4.000,2.365,6.561,20.736,23.158,,11.421,46.328,71.833,82.458,22.000,12.000,82.277,162.516,2.824,458.868,23.000,0.000,5.000,2.567,77
HumanEval_96,humaneval,pass,1,magic_number,1,magic_number,6,16.000,3.000,61.116,55.507,3.125,173.458,11.000,0.000,5.000,1.887,25.691,47.237,41.667,,22.177,61.789,86.020,93.350,11.000,5.000,94.326,15.510,1.000,15.510,8.000,0.000,2.000,2.041,165
HumanEval_97,humaneval,fail,0,,0,,4,9.000,1.000,70.244,18.095,1.000,18.095,0.000,0.000,4.000,3.560,2.088,15.598,17.391,,13.944,44.444,75.984,84.345,2.000,1.000,51.853,25.266,1.200,30.319,0.000,0.000,1.000,6.172,112
